"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","164000","","","","","","","","","","","","145","40260","245154","198950","116227","51117","30690","21603","22275","22209","21623","22169","22024","19791","20450","21099","26308","27571","28384","228587","229256","229669","230696","231142","232468","231954","276203","932209","906640","854779","",
"Bulgaria","BGR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218","443","1054","1318","1431","382","241","542","1470","2984","3642","4047","4676","4388","4479","4808","5108","5375","5519","5676","2273","4305","11026","16543","17794","19166","19906","20438","",
"Bahrain","BHR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","60","","","","","","","","","","","800","","2360","50","150","1780","","","","","","","","","","","","","","","","","","48","139","165","199","289","294","310","246","270","255","262","251","",
"Bahamas, The","BHS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374","59","","8","47","58","78","98","98","","","","","","","","","","27","27","36","14","12","7","9","8","14","10","",
"Bosnia and Herzegovina","BIH","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40000","40000","65645","38150","32744","28020","22515","22209","10566","10315","7364","7254","7130","7014","6932","6904","6924","6883","6789","5266","5224","5227","5241","",
"Belarus","BLR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1824","28988","30525","50","75","261","453","581","612","631","719","718","683","643","602","578","587","594","572","599","919","1805","1647","2155","2225","2725","",
"Belize","BLZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","4000","7000","3120","7000","8180","9000","9000","10000","30100","30150","30657","29969","20351","8912","8857","8750","8534","8387","3483","2891","1248","1128","1048","861","732","624","488","358","277","230","134","78","27","21","10","34","","","29","29","",
"Bermuda","BMU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","700","700","700","","","","500","500","500","500","","","","170","120","170","220","270","200","341","491","669","734","680","697","331","345","349","352","348","352","525","524","532","562","619","649","664","680","701","717","734","751","762","776","802","802","863","",
"Brazil","BRA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","40000","40000","38000","37000","35200","34000","32000","30000","36000","35000","25000","24000","24000","5400","5400","5300","5300","5300","5280","5332","5331","5335","5389","5439","6198","2223","2050","2212","2260","2345","2374","2718","2877","3176","3190","3333","3446","3478","20764","3831","4218","4346","4466","4681","5185","7478","8703","9674","10260","11304","32844","",
"Barbados","BRB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","3980","3600","4360","8890","4500","4500","2480","2400","2840","4810","19000","23290","1300","1290","1300","4600","4970","5680","4830","5300","2325","1261","1178","1054","497","517","503","266","211","280","2133","1291","3549","3577","2798","2831","2831","3101","3154","2462","3020","3023","2983","3312","2784","2771","2642","2127","2090","2116","2044","1113","",
"Central African Republic","CAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","3300","20560","43000","35000","23000","23000","27150","28000","21970","7000","5000","5000","","","","1000","7000","4000","7450","6790","42000","46330","12980","4250","3148","2493","4284","12223","19040","44129","47790","33856","36564","38490","43006","49310","55658","49233","50720","44751","25019","24564","12351","7530","7423","27041","21568","16737","14015","14323","7692","7332","12117","10033","6652","7170","",
"Canada","CAN","Refugee population by country or territory of asylum","SM.POP.REFG","48629","44492","12282","10946","10178","9980","10225","9991","17950","19275","18518","17196","20933","13358","11410","16349","27387","29537","31295","57913","92679","96415","107591","120947","112966","92194","98743","104843","116434","135752","154761","170916","183723","183241","186555","152110","138427","125176","119355","123303","126991","129227","129935","133088","141402","147164","151832","175728","173642","169424","165544","164879","163751","160347","149164","135890","97322","104768","114101","101757","",
"Central Europe and the Baltics","CEB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45123","75730","522368","339151","219622","239459","188891","84216","40365","42158","36145","37029","24031","23672","22945","24915","26330","29607","32231","32831","32497","32455","28820","30559","37933","44267","44458","49279","49925","50200","",
"Switzerland","CHE","Refugee population by country or territory of asylum","SM.POP.REFG","20000","20000","20000","20000","20000","20000","20500","21000","26000","30000","31000","30000","35000","35000","35000","35000","35000","30000","30000","30000","32000","40000","33404","32312","31201","30726","31343","31707","31949","36763","40943","45622","51930","56586","75295","82943","84413","83205","81875","82273","57624","58471","54081","50126","47654","48010","48508","45642","46131","46204","48813","50401","50733","52448","62596","73326","82668","93030","104011","110162","",
"Channel Islands","CHI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","6500","6000","7000","7000","9500","3700","3300","4000","5200","3080","2000","1500","1500","2500","2500","2500","540","","","300","300","58","72","142","237","216","280","307","270","306","326","366","389","414","472","566","807","1135","1375","1607","1539","1613","1669","1692","1738","1764","1840","1730","1861","2026","2046","",
"China","CHN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","970","","","","","","","","","","","","","250000","263000","265000","272100","276630","279750","279670","281790","280600","284300","284300","287276","289061","288123","287424","287065","288310","290099","291506","292345","293297","294109","295321","297273","299347","299367","301039","301024","301075","300966","300985","300984","301016","301037","301045","301052","301044","317254","321714","321758","303379","",
"Cote d'Ivoire","CIV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","12000","","300","","","","300000","500070","","","","","","","450","650","810","880","800","800","480","272281","230290","174076","251578","360106","297908","327696","208509","151187","138433","120694","126239","44751","75967","72084","41624","27279","24640","24802","24598","26213","24212","3972","2970","1918","1972","1397","1559","1808","2020","",
"Cameroon","CMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","8000","","","","","30000","30000","30000","30000","19990","128000","172710","36820","4190","13690","35150","53600","59190","51160","48630","49876","45237","42233","44013","44036","45781","46407","47057","47826","49227","43680","41186","58288","58583","58861","52042","35083","60137","81033","99950","104269","100368","98961","114744","264122","342970","375413","337382","380327","406259","",
"Congo, Dem. Rep.","COD","Refugee population by country or territory of asylum","SM.POP.REFG","150000","203000","223000","237000","236000","265000","357100","434100","475400","496300","489000","474250","495250","460050","503250","510000","515000","530300","653000","710480","611110","576740","497600","303500","337330","283000","301230","320000","340675","340689","416435","482959","391127","572070","1724365","1433760","675972","297536","240214","285270","332509","362014","332978","234033","199323","204341","208371","177390","155162","185809","166333","152748","65106","113357","119752","383095","451957","537089","529065","523733","",
"Congo, Rep.","COG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","500","500","","","","10000","5000","","","150","","","","","1000","1000","1200","1580","2120","2160","3401","2990","3395","3385","13646","15522","19404","20451","20700","27176","39870","123190","119146","109201","91362","68536","66075","55788","38472","24771","111403","133099","141224","98446","51033","54842","44952","46454","48509","37491","25668","",
"Colombia","COL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","1500","1400","1350","1450","1200","","","1800","1500","2000","2000","1800","150","210","330","400","240","680","720","700","460","450","478","296","312","220","222","223","226","232","244","213","208","189","146","152","137","164","165","184","198","208","204","207","198","212","241","260","294","634","",
"Comoros","COM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","13","12","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","700","","200","","","3500","133000","18610","10060","15000","16360","16910","16910","24000","31200","31600","278800","278800","276210","117492","114392","24834","24630","24226","23176","23114","22986","22903","5519","8104","12433","13508","10413","11253","11515","17176","18119","19101","19486","20044","20435","20554","20726","3603","4162","4479","4531","6204","",
"Caribbean small states","CSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30657","29974","20867","9081","8934","8779","8604","8492","3594","3022","1379","1128","1048","861","732","624","488","373","313","295","207","151","102","80","133","186","143","354","911","2410","",
"Cuba","CUB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","1300","","","2600","4000","3060","2970","2000","2000","2000","2000","2000","2000","2000","2000","3990","3988","","5092","3611","1993","1831","1700","1274","1065","956","951","1033","1001","833","791","697","656","617","523","445","406","381","366","377","276","300","312","343","287","233","",
"Curacao","CUW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","13","13","34","46","53","74","99","42","",
"Cayman Islands","CYM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","10","18","29","34","34","",
"Cyprus","CYP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","200","200","200","200","200","","","","","700","","","","","","","","","","","60","","31","61","80","81","67","53","45","38","77","112","73","84","171","339","525","700","926","1194","1458","2888","3397","3498","3627","3879","5120","7062","8478","9790","11002","12311","",
"Czech Republic","CZE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","691","9399","188","1186","2655","2266","1731","1805","1232","1186","1217","1296","1516","1624","1803","1886","2015","2095","2299","2424","2424","2780","2966","3129","3640","3640","3640","2186","2054","",
"Germany","DEU","Refugee population by country or territory of asylum","SM.POP.REFG","197000","190000","185000","182000","180000","180000","140000","112000","110000","113000","115000","125000","125000","125000","123000","122000","122000","120000","83500","87000","94000","100000","100000","115000","126600","475000","547900","596200","610200","628500","816000","821500","1236000","1418000","1354600","1267900","1266000","1049000","949200","975500","906000","903000","980001","960393","876614","699996","605359","578866","582719","593787","594250","571672","589735","187545","216956","316098","669468","970357","1063835","1146682","",
"Djibouti","DJI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","8000","20000","28800","45310","31800","34200","29170","16770","17280","16720","13140","1272","31409","77606","96144","28000","34065","33410","27310","25080","23589","23577","23266","23238","23172","21702","27034","18033","10455","9257","6653","9228","12106","15102","20336","19136","20010","20525","19369","17683","17553","18293","19639","",
"Dominica","DMA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Refugee population by country or territory of asylum","SM.POP.REFG","2300","2200","2200","2200","","","","","","","2000","4400","3687","3687","2900","2125","2100","1764","1800","1800","1800","1800","1800","3600","8500","8500","23000","30000","27310","30726","32887","36100","39124","44570","49564","64850","66371","68106","68996","68982","71017","73284","73600","69855","65305","44362","36650","26779","23385","20340","17907","13386","11797","13153","17767","27312","33501","35668","36623","37533","",
"Dominican Republic","DOM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","1000","1000","1100","","1000","","","500","300","3300","3800","5000","5000","5000","5130","6000","4980","5000","4686","3320","1966","1571","510","1330","1252","982","637","638","614","621","506","","","","","","","","","","600","595","757","721","608","615","593","594","164","164","",
"Algeria","DZA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","500","","","","","21000","39580","52000","52000","52000","52000","167000","167000","167000","167000","174160","167220","167000","170000","169103","169110","169124","219314","219067","219073","192489","190267","170736","165226","165249","169654","169417","169233","169032","169053","94104","94181","94137","94094","94136","94141","94145","94130","94142","94119","94176","94220","94248","94341","98599","",
"East Asia & Pacific (excluding high income)","EAP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","453346","429547","396347","424438","407418","446970","450712","490286","505064","628281","594174","551095","510281","449091","456048","464427","484312","472304","463546","485493","491982","488492","487095","547856","544711","519270","533777","550546","566746","550719","",
"Early-demographic dividend","EAR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12079990","12026944","10697352","8748246","7612027","7613559","7536895","7426336","7364542","7528687","8438167","8918714","7504584","7147048","7458626","7199115","8386958","10775920","10125839","10205926","10301334","9932365","9914450","10557677","11936839","13024365","13307587","14770213","15028285","14809945","",
"East Asia & Pacific","EAS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571488","510679","475814","490241","476320","519914","528443","566074","584402","703172","664049","618826","579626","515314","528729","538606","561996","499176","489438","514005","519159","517011","521832","586976","585895","562051","582281","605967","631100","635753","",
"Europe & Central Asia (excluding high income)","ECA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28920","30979","1129125","1150054","1087620","1221071","1368286","1343615","1277490","1251114","953957","836172","753459","660533","638242","463426","254733","151909","172486","161898","138849","135060","374420","714265","1919736","2948282","3190036","3694762","3846329","3705616","",
"Europe & Central Asia","ECS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1439904","1488708","3509249","3654105","3530705","3610234","3778644","3446233","3162779","3174640","2765224","2685766","2681619","2536283","2404799","2040015","1738839","1589507","1635678","1649259","1610590","1560499","1796982","1775508","3109594","4382502","5195632","6109371","6469146","6565787","",
"Ecuador","ECU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","200","","200","","","200","","600","700","640","680","770","870","890","800","710","755","757","510","280","204","232","238","204","213","218","244","309","1598","1680","3225","6367","8425","10046","11767","264868","101368","116532","121222","123407","123793","123177","122129","121511","102848","92405","101550","104560","",
"Egypt, Arab Rep.","EGY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","470","5000","","","","4800","5000","5020","7370","2600","4000","4000","4000","4510","5000","4850","1440","1580","5500","35000","5500","1090","1080","1150","1620","1740","1991","2245","5509","6709","7218","5401","6026","6486","6276","6553","6840","7223","80488","88745","90335","88934","88014","97550","97851","94392","95044","95078","109923","230070","236085","212492","213515","232647","246746","258391","",
"Euro area","EMU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119086","1103257","1615234","1830062","1798687","1690386","1745495","1531415","1352387","1383674","1259995","1256800","1328001","1304826","1221457","1045265","955262","935048","966936","1012175","1024695","1022488","1057919","694802","784306","972179","1464998","1845395","2032479","2254353","",
