country,iso,region,score,rank,interval,value
New Zealand,NZL,AP,9.4,1,9.1 - 9.5,94
Denmark,DNK,WE/EU,9.3,2,9.1 - 9.5,93
Singapore,SGP,AP,9.2,3,9.0 - 9.4,92
Sweden,SWE,WE/EU,9.2,3,9.0 - 9.3,92
Switzerland,CHE,WE/EU,9,5,8.9 - 9.1,90
Finland,FIN,WE/EU,8.9,6,8.4 - 9.4,89
Netherlands,NLD,WE/EU,8.9,6,8.7 - 9.0,89
Australia,AUS,AP,8.7,8,8.3 - 9.0,87
Canada,CAN,AME,8.7,8,8.5 - 9.0,87
Iceland,ISL,WE/EU,8.7,8,7.5 - 9.4,87
Norway,NOR,WE/EU,8.6,11,8.2 - 9.1,86
Hong Kong,HKG,AP,8.2,12,7.9 - 8.5,82
Luxembourg,LUX,WE/EU,8.2,12,7.6 - 8.8,82
Germany,DEU,WE/EU,8,14,7.7 - 8.3,80
Ireland,ISL,WE/EU,8,14,7.8 - 8.4,80
Austria,AUT,WE/EU,7.9,16,7.4 - 8.3,79
Japan,JPN,AP,7.7,17,7.4 - 8.0,77
United Kingdom,GBR,WE/EU,7.7,17,7.3 - 8.2,77
United States,USA,AME,7.5,19,6.9 - 8.0,75
Barbados,BRB,AME,7.4,20,6.6 - 8.2,74
Belgium,BEL,WE/EU,7.1,21,6.9 - 7.3,71
Qatar,QAT,MENA,7,22,5.8 - 8.1,70
Saint Lucia,LCA,AME,7,22,6.7 - 7.5,70
France,FRA,WE/EU,6.9,24,6.5 - 7.3,69
Chile,CHL,AME,6.7,25,6.5 - 6.9,67
Uruguay,URY,AME,6.7,25,6.4 - 7.1,67
Cyprus,CYP,WE/EU,6.6,27,6.1 - 7.1,66
Estonia,EST,WE/EU,6.6,27,6.1 - 6.9,66
Slovenia,SLV,AME,6.6,27,6.3 - 6.9,66
United Arab Emirates,ARE,MENA,6.5,30,5.5 - 7.5,65
Saint Vincent and the Grenadines,SVN,WE/EU,6.4,31,4.9 - 7.5,64
Israel,ISR,MENA,6.1,32,5.4 - 6.7,61
Spain,ESP,WE/EU,6.1,32,5.5 - 6.6,61
Dominica,DMA,AME,5.9,34,4.9 - 6.7,59
Portugal,PRT,WE/EU,5.8,35,5.5 - 6.2,58
Puerto Rico,PRI,AME,5.8,35,5.2 - 6.3,58
Botswana,BWA,SSA,5.6,37,5.1 - 6.3,56
Taiwan,TWN,AP,5.6,37,5.4 - 5.9,56
Brunei Darussalam,BRN,AP,5.5,39,4.7 - 6.4,55
Oman,OMN,MENA,5.5,39,4.4 - 6.5,55
South Korea,KOR,AP,5.5,39,5.3 - 5.7,55
Mauritius,MUS,SSA,5.4,42,5.0 - 5.9,54
Costa Rica,CRI,AME,5.3,43,4.7 - 5.9,53
Macao,MAC,AP,5.3,43,3.3 - 6.9,53
Malta,MLT,WE/EU,5.2,45,4.0 - 6.2,52
Bahrain,BHR,MENA,5.1,46,4.2 - 5.8,51
Cape Verde,CPV,SSA,5.1,46,3.3 - 7.0,51
Hungary,HUN,WE/EU,5.1,46,4.6 - 5.7,51
Bhutan,BTN,AP,5,49,4.3 - 5.6,50
Jordan,JOR,MENA,5,49,3.9 - 6.1,50
Poland,POL,WE/EU,5,49,4.5 - 5.5,50
Czech Republic,CZE,WE/EU,4.9,52,4.3 - 5.6,49
Lithuania,LTU,WE/EU,4.9,52,4.4 - 5.4,49
Seychelles,SYC,SSA,4.8,54,3.0 - 6.7,48
South Africa,ZAF,SSA,4.7,55,4.3 - 4.9,47
Latvia,LVA,WE/EU,4.5,56,4.1 - 4.9,45
Malaysia,MYS,AP,4.5,56,4.0 - 5.1,45
Namibia,NAM,SSA,4.5,56,3.9 - 5.1,45
Samoa,WSM,AP,4.5,56,3.3 - 5.3,45
Slovakia,SVK,WE/EU,4.5,56,4.1 - 4.9,45
