country,iso,region,score,rank,interval,value
Slovakia,SVK,WE/EU,4.3,62,3.8 - 4.9,43
Tunisia,TUN,MENA,4.3,66,3.0 - 5.6,43
FYR Macedonia,MKD,ECA,4.1,67,3.7 - 4.5,41
Ghana,GHA,SSA,4.1,68,3.7 - 4.5,41
Samoa,WSM,AP,4.1,69,3.4 - 4.7,41
Croatia,HRV,WE/EU,4.1,69,3.4 - 4.7,41
Rwanda,RWA,SSA,4,69,3.2 - 5.1,40
Italy,ITA,WE/EU,3.9,69,3.5 - 4.4,39
Brazil,BRA,AME,3.7,69,3.0 - 4.7,37
Georgia,GEO,ECA,3.8,73,3.2 - 4.3,38
Cuba,CUB,AME,3.7,73,2.6 - 5.1,37
Montenegro,MNE,ECA,3.7,73,3.1 - 4.3,37
Romania,ROU,WE/EU,3.7,73,3.3 - 4.2,37
Bulgaria,BGR,WE/EU,3.6,78,3.2 - 4.0,36
El Salvador,SLV,AME,3.6,78,3.4 - 3.8,36
Panama,PAN,AME,3.6,78,3.2 - 4.1,36
Trinidad and Tobago,TTO,AME,3.6,78,3.0 - 4.3,36
Vanuatu,VUT,AP,3.6,78,2.3 - 5.8,36
China,CHN,AP,3.5,78,3.0 - 4.0,35
Colombia,COL,AME,3.5,78,3.2 - 4.0,35
Greece,GRC,WE/EU,3.5,85,3.1 - 3.9,35
Lesotho,LSO,SSA,3.5,85,2.8 - 4.4,35
Peru,PER,AME,3.5,87,3.4 - 3.6,35
Serbia,SRB,ECA,3.5,87,3.1 - 3.9,35
Thailand,THA,AP,3.5,87,3.2 - 3.9,35
Malawi,MWI,SSA,3.4,87,2.8 - 3.9,34
Morocco,MAR,MENA,3.4,91,2.9 - 3.9,34
Albania,ALB,ECA,3.3,91,3.0 - 3.6,33
India,IND,AP,3.3,91,3.0 - 3.5,33
Jamaica,JAM,AME,3.3,91,3.0 - 3.4,33
Liberia,LBR,SSA,3.3,91,2.7 - 3.9,33
Bosnia and Herzegovina,BIH,ECA,3.2,98,2.8 - 3.5,32
Djibouti,DJI,SSA,3.2,98,2.1 - 4.7,32
Gambia,GMB,SSA,3.2,98,1.9 - 4.4,32
Guatemala,GTM,AME,3.2,101,3.0 - 3.4,32
Kiribati,KIR,AP,3.2,101,2.3 - 4.7,32
Sri Lanka,LKA,AP,3.2,101,2.9 - 3.6,32
Swaziland,SWZ,AP,3.2,105,3.1 - 3.4,32
Burkina Faso,BFA,SSA,3.1,105,2.4 - 3.8,31
Egypt,EGY,MENA,3.1,105,2.9 - 3.4,31
Mexico,MEX,AME,3.1,105,2.9 - 3.3,31
Dominican Republic,DOM,AME,3,105,2.7 - 3.2,30
Sao Tome and Principe,STP,SSA,3,110,2.6 - 3.3,30
Tonga,TON,AP,3,110,2.6 - 3.3,30
Zambia,ZMB,SSA,3,110,2.7 - 3.3,30
Algeria,DZA,MENA,2.9,110,2.6 - 3.2,29
Argentina,ARG,AME,2.9,110,2.6 - 3.2,29
Kazakhstan,KAZ,ECA,2.9,110,2.2 - 3.7,29
Moldova,MDA,ECA,2.9,116,2.7 - 3.2,29
Senegal,SEN,SSA,2.9,116,2.6 - 3.1,29
Benin,BEN,SSA,2.8,116,2.3 - 3.3,28
Bolivia,BOL,AME,2.8,116,2.5 - 3.1,28
Gabon,GAB,SSA,2.8,116,2.1 - 3.3,28
Indonesia,IDN,AP,2.8,116,2.3 - 3.2,28
Kosovo,KSV,ECA,2.8,116,2.7 - 3.1,28
Solomon Islands,SLB,AP,2.8,123,2.3 - 3.4,28
Ethiopia,ETH,SSA,2.7,123,2.4 - 2.9,27
Guyana,GUY,AME,2.7,123,2.6 - 2.8,27
Mali,MLI,SSA,2.7,123,2.2 - 3.2,27
Mongolia,MNG,AP,2.7,127,2.4 - 3.0,27
Mozambique,MOZ,SSA,2.7,127,2.4 - 3.0,27
Tanzania,TZA,SSA,2.7,127,2.4 - 2.9,27
Vietnam,VNM,AP,2.7,127,2.4 - 3.1,27
Armenia,ARM,ECA,2.6,127,2.5 - 2.8,26
Eritrea,ERI,SSA,2.6,127,1.7 - 3.7,26
Madagascar,MDG,SSA,2.6,127,2.2 - 2.9,26
Niger,NER,SSA,2.6,134,2.3 - 2.9,26
Belarus,BLR,ECA,2.5,134,2.1 - 3.1,25
Ecuador,ECU,AME,2.5,134,2.2 - 2.7,25
Lebanon,LBN,MENA,2.5,134,2.0 - 2.9,25
Nicaragua,NIC,AME,2.5,134,2.2 - 2.7,25
Syria,SYR,MENA,2.5,134,2.1 - 2.8,25
Timor-Leste,TLS,AP,2.5,134,2.1 - 2.8,25
Uganda,UGA,SSA,2.5,134,2.1 - 2.9,25
Azerbaijan,AZE,ECA,2.4,134,2.1 - 2.7,24
Bangladesh,BGD,AP,2.4,143,1.9 - 3.0,24
Honduras,HND,AME,2.4,143,2.2 - 2.7,24
Nigeria,NGA,SSA,2.4,143,2.2 - 2.7,24
Philippines,PHL,AP,2.4,146,2.1 - 2.7,24
Togo,TGO,SSA,2.4,146,2.1 - 2.6,24
Ukraine,UKR,ECA,2.4,146,1.8 - 3.0,24
Zimbabwe,ZWE,SSA,2.4,146,2.1 - 2.6,24
Sierra Leone,SLE,SSA,2.4,146,1.8 - 3.0,24
Maldives,MDV,AP,2.3,146,1.7 - 2.7,23
Mauritania,MRT,SSA,2.3,146,1.9 - 2.7,23
Pakistan,PAK,AP,2.3,146,2.1 - 2.6,23
Cameroon,CMR,SSA,2.2,154,2.0 - 2.4,22
Côte d ́Ivoire,CIV,SSA,2.2,154,1.9 - 2.5,22
Haiti,HTI,AME,2.2,154,2.1 - 2.3,22
Iran,IRN,MENA,2.2,154,1.6 - 3.1,22
Libya,LBY,MENA,2.2,154,2.0 - 2.4,22
Nepal,NPL,AP,2.2,154,1.9 - 2.5,22
Paraguay,PRY,AME,2.2,154,1.9 - 2.5,22
Yemen,YEM,MENA,2.2,154,2.0 - 2.5,22
Russia,RUS,ECA,2.1,154,1.9 - 2.2,21
Cambodia,KHM,AP,2.1,154,2.0 - 2.3,21
Tajikistan,TJK,ECA,2.1,154,1.7 - 2.6,21
Papua New Guinea,PNG,AP,2.1,154,1.9 - 2.3,21
Central African Republic,CAF,SSA,2.1,154,2.0 - 2.1,21
Comoros,COM,SSA,2.1,154,2.0 - 2.3,21
Congo-Brazzaville,COG,SSA,2.1,154,1.6 - 2.6,21
Guinea-Bissau,GNB,SSA,2.1,154,1.8 - 2.5,21
Kenya,KEN,SSA,2.1,154,1.9 - 2.3,21
Laos,LAO,AP,2.1,154,1.7 - 2.5,21
Guinea,GIN,SSA,2,164,1.7 - 2.3,20
Democratic Republic of Congo,COD,SSA,2,164,1.8 - 2.2,20
Kyrgyzstan,KGZ,ECA,2,164,1.8 - 2.3,20
Angola,AGO,SSA,1.9,168,1.8 - 2.1,19
Equatorial Guinea,GNQ,SSA,1.9,168,1.8 - 2.0,19
Burundi,BDI,SSA,1.8,170,1.7 - 2.1,18
Chad,TCD,SSA,1.7,171,1.6 - 2.0,17
Sudan,SDN,SSA,1.6,172,1.6 - 1.9,16
Turkmenistan,TKM,ECA,1.6,172,1.4 - 1.9,16
Uzbekistan,UZB,ECA,1.6,172,1.4 - 1.8,16
Venezuela,VEN,AME,1.5,175,1.5 - 1.7,15
Iraq,IRQ,MENA,1.5,175,1.2 - 1.9,15
Afghanistan,AFG,AP,1.4,176,1.2 - 1.6,14
Myanmar,MMR,AP,1.4,176,0.9 - 1.9,14
Somalia,SOM,SSA,1.1,178,0.9 - 1.4,11
