country,iso,region,score,rank,interval,value
Denmark,DNK,WE/EU,9.3,1,9.1 - 9.4,93
New Zealand,NZL,AP,9.3,1,9.2 - 9.5,93
Singapore,SGP,AP,9.3,1,9.2 - 9.4,93
Finland,FIN,WE/EU,9.2,4,9.1 - 9.3,92
Sweden,SWE,WE/EU,9.2,4,9.1 - 9.4,92
Canada,CAN,AME,8.9,6,8.7 - 9.0,89
Netherlands,NLD,WE/EU,8.8,7,8.7 - 9.0,88
Australia,AUS,AP,8.7,8,8.3 - 9.0,87
Switzerland,CHE,WE/EU,8.7,8,8.3 - 9.1,87
Norway,NOR,WE/EU,8.6,10,8.1 - 9.0,86
Iceland,ISL,WE/EU,8.5,11,7.7 - 9.2,85
Luxembourg,LUX,WE/EU,8.5,11,8.0 - 8.9,85
Hong Kong,HKG,AP,8.4,13,8.1 - 8.7,84
Ireland,IRL,WE/EU,8,14,7.7 - 8.3,80
Austria,AUT,WE/EU,7.9,15,7.4 - 8.4,79
Germany,DEU,WE/EU,7.9,15,7.5 - 8.3,79
Barbados,BRB,AME,7.8,17,7.1 - 8.5,78
Japan,JPN,AP,7.8,17,7.5 - 8.2,78
Qatar,QAT,MENA,7.7,19,6.6 - 8.6,77
United Kingdom,GBR,WE/EU,7.6,20,7.3 - 7.9,76
Chile,CHL,AME,7.2,21,7.0 - 7.4,72
Belgium,BEL,WE/EU,7.1,22,6.9 - 7.2,71
United States,USA,AME,7.1,22,6.5 - 7.7,71
Uruguay,URY,AME,6.9,24,6.5 - 7.1,69
France,FRA,WE/EU,6.8,25,6.4 - 7.2,68
Estonia,EST,WE/EU,6.5,26,6.1 - 6.8,65
Slovenia,SVN,WE/EU,6.4,27,5.9 - 6.8,64
Cyprus,CYP,WE/EU,6.3,28,6.0 - 6.6,63
United Arab Emirates,ARE,MENA,6.3,28,5.4 - 7.3,63
Israel,ISR,MENA,6.1,30,5.7 - 6.6,61
Spain,ESP,WE/EU,6.1,30,5.7 - 6.5,61
Portugal,PRT,WE/EU,6,32,5.4 - 6.7,60
Botswana,BWA,SSA,5.8,33,5.4 - 6.2,58
Puerto Rico,PRI,AME,5.8,33,5.3 - 6.4,58
Taiwan,TWN,AP,5.8,36,5.5 - 6.2,58
Bhutan,BTN,AP,5.7,37,5.1 - 6.2,57
Brunei,BRN,AP,5.5,38,5.3 - 5.8,55
Malta,MLT,WE/EU,5.6,39,4.7 - 6.1,56
Korea (South),KOR,AP,5.4,41,5.1 - 5.7,54
Mauritius,MUS,SSA,5.4,41,4.9 - 5.9,54
Costa Rica,CRI,AME,5.3,41,4.7 - 6.0,53
Oman,OMN,MENA,5.3,44,4.1 - 6.4,53
Poland,POL,WE/EU,5.3,45,5.0 - 5.5,53
Dominica,DMA,AME,5.2,46,4.7 - 5.8,52
Cape Verde,CPV,SSA,5.1,48,4.1 - 6.1,51
Lithuania,LTU,WE/EU,5,49,4.4 - 5.5,50
Macau,MAC,AP,5,50,3.4 - 5.8,50
Bahrain,BHR,MENA,4.9,50,4.1 - 5.7,49
Seychelles,SYC,SSA,4.8,50,3.0 - 6.8,48
Hungary,HUN,WE/EU,4.7,53,3.9 - 5.5,47
Jordan,JOR,MENA,4.7,54,4.0 - 5.5,47
Saudi Arabia,SAU,MENA,4.7,54,3.3 - 6.0,47
Czech Republic,CZE,WE/EU,4.6,56,4.1 - 5.1,46
Kuwait,KWT,MENA,4.5,56,3.3 - 5.9,45
South Africa,ZAF,SSA,4.5,56,4.1 - 4.8,45
Malaysia,MYS,AP,4.4,59,3.9 - 4.9,44
Namibia,NAM,SSA,4.4,59,3.9 - 4.9,44
Turkey,TUR,ECA,4.4,59,4.0 - 4.8,44
Latvia,LVA,WE/EU,4.3,62,3.7 - 4.8,43
