country,iso,region,score,rank,interval
Denmark,DNK,WE/EU,9.4,1,9.2 - 9.6
Finland,FIN,WE/EU,9.4,1,9.2 - 9.6
New Zealand,NZL,AP,9.4,1,9.2 - 9.6
Singapore,SGP,AP,9.3,4,9.0 - 9.5
Sweden,SWE,WE/EU,9.3,4,9.1 - 9.4
Iceland,ISL,WE/EU,9.2,6,8.3 - 9.6
Netherlands,NLD,WE/EU,9,7,8.8 - 9.2
Switzerland,CHE,WE/EU,9,7,8.8 - 9.2
Canada,CAN,AME,8.7,9,8.3 - 9.1
Norway,NOR,WE/EU,8.7,9,8.0 - 9.2
Australia,AUS,AP,8.6,11,8.1 - 9.0
Luxembourg,LUX,WE/EU,8.4,12,7.7 - 8.7
United Kingdom,GBR,WE/EU,8.4,12,7.9 - 8.9
Hong Kong,HKG,AP,8.3,14,7.6 - 8.8
Austria,AUT,WE/EU,8.1,15,7.5 - 8.7
Germany,DEU,WE/EU,7.8,16,7.3 - 8.4
Ireland,IRL,WE/EU,7.5,17,7.3 - 7.7
Japan,JPN,AP,7.5,17,7.1 - 8.0
France,FRA,WE/EU,7.3,19,6.9 - 7.8
USA,USA,AME,7.2,20,6.5 - 7.6
Belgium,BEL,WE/EU,7.1,21,7.1 - 7.1
Chile,CHL,AME,7,22,6.5 - 7.4
Barbados,BRB,AME,6.9,23,6.6 - 7.1
Saint Lucia,LCA,AME,6.8,24,6.1 - 7.1
Spain,ESP,WE/EU,6.7,25,6.2 - 7.0
Uruguay,URY,AME,6.7,25,6.4 - 7.0
Slovenia,SVN,WE/EU,6.6,27,6.1 - 6.9
Estonia,EST,WE/EU,6.5,28,6.0 -7.0
Portugal,PRT,WE/EU,6.5,28,5.8 - 7.2
Israel,ISR,MENA,6.1,30,5.6 - 6.7
Saint Vincent and the Grenadines,VCT,AME,6.1,30,4.0 - 7.1
Qatar,QAT,MENA,6,32,5.4 - 6.4
Malta,MLT,WE/EU,5.8,33,5.3 - 6.2
Macau,MAC,MO,5.7,34,4.7 - 6.4
Taiwan,TWN,AP,5.7,34,5.4 - 6.1
United Arab Emirates,ARE,MENA,5.7,34,4.8 - 6.5
Dominica,DMA,AME,5.6,37,4.0 - 6.1
Botswana,BWA,SSA,5.4,38,4.8 - 6.1
Cyprus,CYP,WE/EU,5.3,39,5.1 - 5.5
Hungary,HUN,WE/EU,5.3,39,4.9 - 5.5
Czech Republik,CZE,WE/EU,5.2,41,4.9 - 5.8
Italy,ITA,WE/EU,5.2,41,4.7 - 5.7
Malaysia,MYS,AP,5.1,43,4.5 - 5.7
South Africa,ZAF,SSA,5.1,43,4.9 - 5.5
South Korea,KOR,AP,5.1,43,4.7 - 5.5
Bahrain,BHR,MENA,5,46,4.2 - 5.7
Bhutan,BTN,AP,5,46,4.1 - 5.7
Costa Rica,CRI,AME,5,46,4.7 - 5.3
Cape Verde,CPV,SSA,4.9,49,3.4 - 5.5
Slovakia,SVK,WE/EU,4.9,49,4.5 - 5.2
