country,iso,region,score,rank,interval
Mozambique,MOZ,SSA,2.8,99,2.5 - 3.0
Ukraine,UKR,ECA,2.8,99,2.5 - 3.0
Bolivia,BOL,AME,2.7,105,2.4 - 3.0
Iran,IRN,MENA,2.7,105,2.3 - 3.1
Libya,LBY,MENA,2.7,105,2.4 - 3.2
Macedonia,MKD,ECA,2.7,105,2.6 - 2.9
Malawi,MWI,SSA,2.7,105,2.5 - 3.0
Uganda,UGA,SSA,2.7,105,2.4 - 3.0
Albania,ALB,ECA,2.6,111,2.4 - 2.7
Guatemala,GTM,AME,2.6,111,2.3 - 3.0
Kazakhstan,KAZ,ECA,2.6,111,2.3 - 2.8
Laos,LAO,AP,2.6,111,2.0 - 3.1
Nicaragua,NIC,AME,2.6,111,2.4 - 2.9
Paraguay,PRY,AME,2.6,111,2.2 - 3.3
Timor-Leste,TLS,AP,2.6,111,2.3 - 3.0
Viet Nam,VNM,AP,2.6,111,2.4 - 2.9
Yemen,YEM,MENA,2.6,111,2.4 - 2.7
Zambia,ZMB,SSA,2.6,111,2.1 - 3.0
Benin,BEN,SSA,2.5,121,2.1 - 2.9
Gambia,GMB,SSA,2.5,121,2.3 - 2.8
Guyana,GUY,AME,2.5,121,2.2 - 2.6
Honduras,HND,AME,2.5,121,2.4 - 2.7
Nepal,NAM,SSA,2.5,121,2.3 - 2.9
Philippines,PHL,AP,2.5,121,2.3 - 2.8
Russia,RUS,ECA,2.5,121,2.3 - 2.7
Rwanda,RWA,SSA,2.5,121,2.3 - 2.6
Swaziland,SWZ,AME,2.5,121,2.2 - 2.7
Azerbaijan,AZE,ECA,2.4,130,2.2 - 2.6
Burundi,BDI,SSA,2.4,130,2.2 - 2.6
Central African Republic,CAF,SSA,2.4,130,2.2 - 2.5
Ethiopia,ETH,SSA,2.4,130,2.2 - 2.6
Indonesia,IDN,AP,2.4,130,2.2 - 2.6
Papua New Guinea,PNG,AP,2.4,130,2.3 - 2.6
Togo,TGO,SSA,2.4,130,1.9 - 2.6
Zimbabwe,ZWE,SSA,2.4,130,2.0 - 2.8
Cameroon,CMR,SSA,2.3,138,2.1 - 2.5
Ecuador,ECU,AME,2.3,138,2.2 - 2.5
Niger,NER,SSA,2.3,138,2.1 - 2.6
Venezuela,VEN,AME,2.3,138,2.2 - 2.4
Angola,AGO,SSA,2.2,142,1.9 - 2.4
"Congo, Republic",COG,SSA,2.2,142,2.2 - 2.3
Kenya,KEN,SSA,2.2,142,2.0 - 2.4
Kyrgyzstan,KGZ,ECA,2.2,142,2.0 - 2.6
Nigeria,NER,SSA,2.2,142,2.0 - 2.3
Pakistan,PAK,AP,2.2,142,2.0 - 2.4
Sierra Leone,SLE,SSA,2.2,142,2.2 - 2.3
Tajikistan,TJK,ECA,2.2,142,2.0 - 2.4
Turkmenistan,TKM,ECA,2.2,142,1.9 - 2.5
Belarus,BLR,ECA,2.1,151,1.9 - 2.2
Cambodia,KHM,AP,2.1,151,1.9 - 2.4
Côte d´Ivoire,CIV,SSA,2.1,151,2.0 - 2.2
Equatorial Guinea,GNQ,SSA,2.1,151,1.7 - 2.2
Uzbekistan,UZB,ECA,2.1,151,1.8 - 2.2
Bangladesh,BGD,AP,2,156,1.7 - 2.2
Chad,TCD,SSA,2,156,1.8 - 2.3
"Congo, Democratic Republic",COD,SSA,2,156,1.8 - 2.2
Sudan,SDN,SSA,2,156,1.8 - 2.2
Guinea,GIN,SSA,1.9,160,1.7 - 2.1
Iraq,IRQ,MENA,1.9,160,1.6 - 2.1
Myanmar,MMR,AP,1.9,160,1.8 - 2.3
Haiti,HTI,AME,1.8,163,1.7 - 1.8
