country,iso,region,score,rank,interval
Albania,ALB,ECA,2.5,108,2.0 - 3.0
Algeria,DZA,MENA,2.7,97,2.3 - 3.0
Angola,AGO,SSA,2,133,1.7 - 2.1
Argentina,ARG,AME,2.5,108,2.2 - 2.8
Armenia,ARM,ECA,3.1,82,2.4 - 3.7
Australia,AUS,AP,8.8,9,8.4 - 9.1
Austria,AUT,WE/EU,8.4,13,8.1 - 8.8
Azerbaijan,AZE,ECA,1.9,140,1.8 - 2.0
Bahrain,BHR,MENA,5.8,34,5.5 - 6.2
Bangladesh,BGD,AP,1.5,145,1.1 - 1.9
Barbados,BRB,AME,7.3,21,6.6 - 7.6
Belarus,BLR,ECA,3.3,74,1.9 - 4.8
Belgium,BEL,WE/EU,7.5,17,7.1 - 8.0
Belize,BEN,SSA,3.8,60,3.4 - 4.1
Benin,BOL,AME,3.2,77,2.0 - 4.3
Bolivia,BOL,AME,2.2,122,2.1 - 2.3
Bosnia and Herzegovina,BIH,ECA,3.1,82,2.7 - 3.5
Botswana,BWA,SSA,6,31,5.3 - 6.8
Brazil,BRA,AME,3.9,59,3.7 - 4.1
Bulgaria,BGR,WE/EU,4.1,54,3.7 - 4.6
Cameroon,CMR,SSA,2.1,129,1.9 - 2.3
Canada,CAN,AME,8.5,12,8.1 - 8.9
Chad,TCD,SSA,1.7,142,1.1 - 2.3
Chile,CHL,AME,7.4,20,7.0 - 7.8
China,CHN,AP,3.4,71,3.0 - 3.8
Colombia,COL,AME,3.8,60,3.4 - 4.1
Congo. Democratic Republic,COD,SSA,2,133,1.5 - 2.2
Congo. Republic of,COG,SSA,2.3,114,2.0 - 2.7
Costa Rica,CRI,AME,4.9,41,4.2 - 5.8
Cote d´Ivoire,CIV,SSA,2,133,1.7 - 2.2
Croatia,HRV,WE/EU,3.5,67,3.3 - 3.8
Cuba,CUB,AME,3.7,62,2.2 - 4.7
Cyprus,CYP,WE/EU,5.4,36,5.0 - 5.8
Czech Republic,CZE,WE/EU,4.2,51,3.7 - 4.9
Denmark,DNK,WE/EU,9.5,3,9.3 - 9.7
Dominican Republic,DOM,AME,2.9,87,2.4 - 3.3
Ecuador,ECU,AME,2.4,112,2.3 - 2.5
Egypt,EGY,MENA,3.2,77,2.7 - 3.8
El Salvador,SLV,AME,4.2,51,3.3 - 5.1
Eritrea,ERI,SSA,2.6,102,1.6 - 3.4
Estonia,EST,WE/EU,6,31,5.6 - 6.7
Ethiopia,ETH,SSA,2.3,114,1.9 - 2.9
Finland,FIN,WE/EU,9.7,1,9.5 - 9.8
France,FRA,WE/EU,7.1,22,6.6 - 7.6
Gabon,GAB,SSA,3.3,74,2.1 - 3.7
Gambia,GMB,SSA,2.8,90,2.2 - 3.4
Georgia,GEO,ECA,2,133,1.6 - 2.3
Germany,DEU,WE/EU,8.2,15,8.0 - 8.5
Ghana,GHA,SSA,3.6,64,3.1 - 4.1
Greece,GRC,WE/EU,4.3,49,4.0 - 4.8
Guatemala,GTM,AME,2.2,122,2.0 - 2.4
Haiti,HTI,AME,1.5,145,1.2 - 1.9
Honduras,HND,AME,2.3,114,2.0 - 2.6
Hong Kong,HKG,AP,8,16,7.1 - 8.5
Hungary,HUN,WE/EU,4.8,42,4.6 - 5.0
Iceland,ISL,WE/EU,9.5,3,9.4 - 9.7
India,IND,AP,2.8,90,2.6 - 3.0
Indonesia,IDN,AP,2,133,1.7 - 2.2
Iran,IRN,MENA,2.9,87,2.2 - 3.4
Iraq,IRQ,MENA,2.1,129,1.3 - 2.8
Ireland,IRL,WE/EU,7.5,17,7.2 - 7.9
Israel,ISR,MENA,6.4,26,5.6 - 7.1
Italy,ITA,WE/EU,4.8,42,4.4 - 5.1
Jamaica,JAM,AME,3.3,74,2.8 - 3.7
Japan,JPN,AP,6.9,24,6.2 - 7.4
Jordan,JOR,MENA,5.3,37,4.6 - 5.9
Kazakhstan,KAZ,ECA,2.2,122,1.8 - 2.7
Kenya,KEN,SSA,2.1,129,1.9 - 2.4
Kuwait,KWT,MENA,4.6,44,3.8 - 5.3
Kyrgyzstan,KGZ,ECA,2.2,122,2.0 - 2.5
Latvia,LVA,WE/EU,4,57,3.8 - 4.3
Lebanon,LBN,MENA,2.7,97,2.1 - 3.2
Libya,LBY,MENA,2.5,108,1.9 - 3.0
Lithuania,LTU,WE/EU,4.6,44,4.0 - 5.4
Luxembourg,LUX,WE/EU,8.4,13,8.0 - 8.9
Macedonia,MKD,ECA,2.7,97,2.3 - 3.2
Madagascar,MDG,SSA,3.1,82,1.8 - 4.4
Malawi,MWI,SSA,2.8,90,2.2 - 3.7
Malaysia,MYS,AP,5,39,4.5 - 5.6
Mali,MLI,SSA,3.2,77,2.2 - 4.2
Malta,MLT,WE/EU,6.8,25,5.3 - 8.2
Mauritius,MUS,SSA,4.1,54,3.2 - 4.8
Mexico,MEX,AME,3.6,64,3.3 - 3.8
Moldova,MDA,ECA,2.3,114,2.0 - 2.8
Mongolia,MNG,AP,3,85,2.6 - 3.2
Morocco,MAR,MENA,3.2,77,2.9 - 3.5
Mozambique,MOZ,SSA,2.8,90,2.4 - 3.1
Myanmar,MMR,AP,1.7,142,1.5 - 2.0
Namibia,NAM,SSA,4.1,54,3.5 - 4.6
Nepal,NPL,AP,2.8,90,1.6 - 3.4
Netherlands,NLD,WE/EU,8.7,10,8.5 - 8.9
New Zealand,NZL,AP,9.6,2,9.4 - 9.6
Nicaragua,NIC,AME,2.7,97,2.5 - 3.0
Niger,NER,SSA,2.2,122,2.0 - 2.5
Nigeria,NGA,SSA,1.6,144,1.4 - 1.8
Norway,NOR,WE/EU,8.9,8,8.6 - 9.1
Oman,OMN,MENA,6.1,29,5.1 - 6.8
Pakistan,PAK,AP,2.1,129,1.6 - 2.6
Palestinian Authority,PSE,MENA,2.5,108,2.0 - 2.7
Panama,PAN,AME,3.7,62,3.4 - 4.2
Papua New Guinea,PNG,AP,2.6,102,1.9 - 3.4
Paraguay,PRY,AME,1.9,140,1.7 - 2.2
Peru,PER,AME,3.5,67,3.3 - 3.7
Philippines,PHL,AP,2.6,102,2.4 - 2.9
Poland,POL,WE/EU,3.5,67,3.1 - 3.9
Portugal,PRT,WE/EU,6.3,27,5.8 - 6.8
Qatar,QAT,MENA,5.2,38,4.6 - 5.6
Romania,ROU,WE/EU,2.9,87,2.5 - 3.4
Russia,RUS,ECA,2.8,90,2.5 - 3.1
Saudi Arabia,SAU,MENA,3.4,71,2.7 - 4.0
Senegal,SEN,SSA,3,85,2.5 - 3.5
Serbia and Montenegro,SRB,ECA,2.7,97,2.3 - 3.0
Seychelles,SYC,SSA,4.4,48,3.7 - 5.0
Sierra Leone,SLE,SSA,2.3,114,2.0 - 2.7
Singapore,SGP,AP,9.3,5,9.2 - 9.4
Slovakia,SVK,WE/EU,4,57,3.6 - 4.5
Slovenia,SVN,WE/EU,6,31,5.6 - 6.6
South Africa,ZAF,SSA,4.6,44,4.2 - 5.0
South Korea,KOR,AP,4.5,47,4.0 - 4.9
Spain,ESP,WE/EU,7.1,22,6.7 - 7.4
Sri Lanka,LKA,AP,3.5,67,3.1 - 3.9
Sudan,SDN,SSA,2.2,122,2.0 - 2.3
Suriname,SUR,AME,4.3,49,2.1 - 5.8
Sweden,SWE,WE/EU,9.2,6,9.1 - 9.3
Switzerland,CHE,WE/EU,9.1,7,8.9 - 9.2
Syria,SYR,MENA,3.4,71,2.8 - 4.1
Taiwan,TWN,AP,5.6,35,5.2 - 6.1
Tajikistan,TJK,ECA,2,133,1.7 - 2.4
Tanzania,TZA,SSA,2.8,90,2.4 - 3.2
Thailand,THA,AP,3.6,64,3.3 - 3.9
Trinidad and Tobago,TTO,AME,4.2,51,3.6 - 5.2
Tunisia,TUN,MENA,5,39,4.5 - 5.6
Turkey,TUR,ECA,3.2,77,2.8 - 3.7
Turkmenistan,TKM,ECA,2,133,1.6 - 2.3
Uganda,UGA,SSA,2.6,102,2.1 - 3.1
Ukraine,UKR,ECA,2.2,122,2.0 - 2.4
United Arab Emirates,ARE,MENA,6.1,29,5.1 - 7.1
United Kingdom,GBR,WE/EU,8.6,11,8.4 - 8.8
Uruguay,USA,AME,6.2,28,5.9 - 6.7
USA,URY,AME,7.5,17,6.9 - 8.0
Uzbekistan,UZB,ECA,2.3,114,2.1 - 2.4
Venezuela,VEN,AME,2.3,114,2.2 - 2.5
Vietnam,VNM,AP,2.6,102,2.3 - 2.9
Yemen,YEM,MENA,2.4,112,1.9 - 2.9
Zambia,ZMB,SSA,2.6,102,2.3 - 2.9
Zimbabwe,ZWE,SSA,2.3,114,1.9 - 2.7
