country,iso,region,score,rank,interval
Denmark,DNK,WE/EU,9.3,1,9.1 - 9.4
New Zealand,NZL,AP,9.3,1,9.2 - 9.5
Singapore,SGP,AP,9.3,1,9.2 - 9.4
Finland,FIN,WE/EU,9.2,4,9.1 - 9.3
Sweden,SWE,WE/EU,9.2,4,9.1 - 9.4
Canada,CAN,AME,8.9,6,8.7 - 9.0
Netherlands,NLD,WE/EU,8.8,7,8.7 - 9.0
Australia,AUS,AP,8.7,8,8.3 - 9.0
Switzerland,CHE,WE/EU,8.7,8,8.3 - 9.1
Norway,NOR,WE/EU,8.6,10,8.1 - 9.0
Iceland,ISL,WE/EU,8.5,11,7.7 - 9.2
Luxembourg,LUX,WE/EU,8.5,11,8.0 - 8.9
Hong Kong,HKG,AP,8.4,13,8.1 - 8.7
Ireland,IRL,WE/EU,8,14,7.7 - 8.3
Austria,AUT,WE/EU,7.9,15,7.4 - 8.4
Germany,DEU,WE/EU,7.9,15,7.5 - 8.3
Barbados,BRB,AME,7.8,17,7.1 - 8.5
Japan,JPN,AP,7.8,17,7.5 - 8.2
Qatar,QAT,MENA,7.7,19,6.6 - 8.6
United Kingdom,GBR,WE/EU,7.6,20,7.3 - 7.9
Chile,CHL,AME,7.2,21,7.0 - 7.4
Belgium,BEL,WE/EU,7.1,22,6.9 - 7.2
United States,USA,AME,7.1,22,6.5 - 7.7
Uruguay,URY,AME,6.9,24,6.5 - 7.1
France,FRA,WE/EU,6.8,25,6.4 - 7.2
Estonia,EST,WE/EU,6.5,26,6.1 - 6.8
Slovenia,SVN,WE/EU,6.4,27,5.9 - 6.8
Cyprus,CYP,WE/EU,6.3,28,6.0 - 6.6
United Arab Emirates,ARE,MENA,6.3,28,5.4 - 7.3
Israel,ISR,MENA,6.1,30,5.7 - 6.6
Spain,ESP,WE/EU,6.1,30,5.7 - 6.5
Portugal,PRT,WE/EU,6,32,5.4 - 6.7
Botswana,BWA,SSA,5.8,33,5.4 - 6.2
Puerto Rico,PRI,AME,5.8,33,5.3 - 6.4
Taiwan,TWN,AP,5.8,36,5.5 - 6.2
Bhutan,BTN,AP,5.7,37,5.1 - 6.2
Brunei,BRN,AP,5.5,38,5.3 - 5.8
Malta,MLT,WE/EU,5.6,39,4.7 - 6.1
Korea (South),KOR,AP,5.4,41,5.1 - 5.7
Mauritius,MUS,SSA,5.4,41,4.9 - 5.9
Costa Rica,CRI,AME,5.3,41,4.7 - 6.0
Oman,OMN,MENA,5.3,44,4.1 - 6.4
Poland,POL,WE/EU,5.3,45,5.0 - 5.5
Dominica,DMA,AME,5.2,46,4.7 - 5.8
Cape Verde,CPV,SSA,5.1,48,4.1 - 6.1
Lithuania,LTU,WE/EU,5,49,4.4 - 5.5
Macau,MAC,AP,5,50,3.4 - 5.8
Bahrain,BHR,MENA,4.9,50,4.1 - 5.7
Seychelles,SYC,SSA,4.8,50,3.0 - 6.8
Hungary,HUN,WE/EU,4.7,53,3.9 - 5.5
Jordan,JOR,MENA,4.7,54,4.0 - 5.5
Saudi Arabia,SAU,MENA,4.7,54,3.3 - 6.0
Czech Republic,CZE,WE/EU,4.6,56,4.1 - 5.1
Kuwait,KWT,MENA,4.5,56,3.3 - 5.9
South Africa,ZAF,SSA,4.5,56,4.1 - 4.8
Malaysia,MYS,AP,4.4,59,3.9 - 4.9
Namibia,NAM,SSA,4.4,59,3.9 - 4.9
Turkey,TUR,ECA,4.4,59,4.0 - 4.8
Latvia,LVA,WE/EU,4.3,62,3.7 - 4.8
Slovakia,SVK,WE/EU,4.3,62,3.8 - 4.9
Tunisia,TUN,MENA,4.3,66,3.0 - 5.6
FYR Macedonia,MKD,ECA,4.1,67,3.7 - 4.5
Ghana,GHA,SSA,4.1,68,3.7 - 4.5
Samoa,WSM,AP,4.1,69,3.4 - 4.7
Croatia,HRV,WE/EU,4.1,69,3.4 - 4.7
Rwanda,RWA,SSA,4,69,3.2 - 5.1
Italy,ITA,WE/EU,3.9,69,3.5 - 4.4
Brazil,BRA,AME,3.7,69,3.0 - 4.7
Georgia,GEO,ECA,3.8,73,3.2 - 4.3
Cuba,CUB,AME,3.7,73,2.6 - 5.1
Montenegro,MNE,ECA,3.7,73,3.1 - 4.3
Romania,ROU,WE/EU,3.7,73,3.3 - 4.2
